Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A09002_001,SE_A09002_002,SE_A09002_003,SE_A09002_004,SE_A09002_005,SE_A09002_006,SE_A09002_007,SE_A09002_008
"06037121101","Census Tract 1211.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1211.01",,,,1626,1346,1111,235,115,0,0,19,5,141,1485,26,277,414,392,195,91,90
"06037121102","Census Tract 1211.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1211.02",,,,1043,867,716,151,4,38,0,23,0,111,932,45,202,249,184,164,53,35
"06037121210","Census Tract 1212.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1212.10",,,,998,845,672,173,36,0,0,21,45,51,947,19,195,177,274,82,131,69
"06037121221","Census Tract 1212.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1212.21",,,,1123,1026,921,105,8,0,0,15,20,54,1069,4,142,446,222,115,120,20
"06037121222","Census Tract 1212.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1212.22",,,,2450,2152,1795,357,146,0,0,37,0,115,2335,26,487,804,627,122,232,37
"06037121600","Census Tract 1216, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1216",,,,1224,1060,884,176,39,0,4,0,0,121,1103,0,149,408,286,163,39,58
"06037121801","Census Tract 1218.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1218.01",,,,1825,1404,1251,153,131,0,0,30,74,186,1639,0,289,625,432,161,103,29
"06037121802","Census Tract 1218.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1218.02",,,,1223,1067,855,212,88,0,0,5,5,58,1165,14,191,365,206,242,106,41
"06037121900","Census Tract 1219, Los Angeles County, California","ca","140","00",,,,"06","037",,,"121900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1219",,,,1588,1375,1099,276,42,0,19,10,19,123,1465,10,153,676,348,208,41,29
"06037122000","Census Tract 1220, Los Angeles County, California","ca","140","00",,,,"06","037",,,"122000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1220",,,,2369,2083,1742,341,72,27,0,31,0,156,2213,156,79,892,595,357,63,71
